Sentences,Propaganda (Optional),Fake/Legit,Sentiment,Bots (Optional),Topic (Domain),Source,Why Fake? (Optional),MSA or ALG dialects ,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,
هذا نتيجة السحر وقلة ضمير بعض البشر ماذنب هذه الطغلة,Yes,Fake (Lie),Negative,No,Other,https://fatabyyano.net/%d8%b7%d9%81%d9%84%d8%a9-%d9%85%d8%b5%d8%a7%d8%a8%d8%a9-%d8%a8%d8%a7%d9%84%d8%aa%d8%b4%d9%86%d8%ac%d8%a7%d8%aa/,- – لا علاقة لما يحدث للطفلة في الفيديو بالسحر – الفتاة الظاهرة في الفيديو تعاني من نوبة تشنجات التي عادة ما تصاحب مرض الصرع وهو مرض عصبي نتيجة زيادة نشاط أجزاء معينة في المخ مما قد يؤدي لحدوث تشجنات – يختلف شكل الصرع باختلاف المنطقة من المخ التي تتأثر بهذا النشاط الغير طبيعي – هناك محفزات لحدوث حالة التشنجات منها اضطراب الإضاءة الملاحظ في الفيديو والتوتر وغيرها – يتم تشخيص وعلاج حالات الصرع من قبل أطباء المخ والأعصاب المتخصصين,MSA,,,,,,,,,,
بلا رحمة أب يضع (برغي) باستخدام (درل) داخل حلق ابنه . الحاله في مستشفى الكرك الحكومي قسم الجراحة منذ يومين. حسبي الله ونعم الوكيل فيه,Yes,Fake (Lie),Negative,No,Other,https://fatabyyano.net/%d8%a3%d8%a8_%d9%8a%d8%b6%d8%b9_%d8%a8%d8%b1%d8%ba%d9%8a/,- – نفى مدير مستشفى الكرك الحكومي الدكتور معاذ المعايطة صحة الصورة وأشار أن الموجود بالصورة هو كباس بنطلون وضعه الطفل في فمه ولوجود أطراف للكباس علق في حلق الطفل استغرق الأمر أقل من خمس دقائق لإزالة الكباس دون مضاعفات,MSA,,,,,,,,,,
فيديو يوضح -- لهذا نهى النبي عن النفخ فى الشراب ☝,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/1water/,الفيديو يحتوي الكثير من المغالطات، فبداية، التجربة لا تثبت ما أريد لها إثباته، لأن المحاكاة لم تكن صحيحة، بالاضافة الى أن: – درجة الحموضة للماء الصافي هي 7 و هي درجة التعادل، فهو مركب متعادل، لا حامض ولا قلوي. الماء الذي تم اختباره قبل النفخ يعطي درجة قلوية بين 8 الى 9 حسب مخطط التدرج اللوني، و ليس بالضرورة أن يكون الأفضل للشرب، بل و أعلى من الدرجة الآمنة لمياه الشرب. – عندما نفخ داخل الماء، انتقلت كمية من ثاني أكسيد الكربون و اختلطت في الماء مشكلة الكاربونيك أسيد و هو حمض ضعيف، و غير ضار، و لون الماء قريب من لون ماء المطر و الذي يحمل درجة حموضة 5.5، بسبب وجود الكاربونيك أسيد الذي يتكون أثناء نزول المطر و اختلاطه بثاني أكسيد الكربون. و يختلف تركيز حمض الكاربونيك اعتمادا على درجة التلوث و نسب ثاني أكسيد الكربون في الجو. و لكن بشكل عام، فإن مياه الأمطار آمنة جدا للشرب دون الحاجة لفلترة أو معالجة. – النفخ على الطعام لا يكون بهذه الطريقة و لا يكون بإضافة كمية كبيرة من ثاني أكسيد الكربون (على الرغم من انعدام ضرره على الجسم) ، فالنفخ يؤثر على سطح الطعام و يجعله يختلط بثاني أكسيد الكربون فيتكون هذا الحمض الضعيف. علما أن عصير البرتقال كحامض، هو أقوى من حمض الكاربونيك – حمض الكاربونيك متواجد بكثرة في الطبيعة، و يساهم في كثير من العمليات الحيوية و ينتج عن عمليات حيوية أخرى مثل التخليل و التخمير. – النفخ على الطعام يؤدي الى انتقال الجراثيم من الفم عبر الهواء الى الطعام. فعلى نفس المبدأ، أثبتت إحدى الدراسات التي قام بها المركز الكندي للعلم و التعليم Canadian Center of Science and Education، أن النفخ على الشمع في قالب الكيك مثلا، يؤدي الى انتشار الجراثيم فوق الكيك بشكل ملحوظ مما يؤدي الى خطر انتشار العدوى. blowing_on_cake – كراهة النفخ على الطعام من ناحية آداب الاسلام يعتبر غير لائق، و قد يكون منعًا لانتقال أي عدوى كما أنه قد يقع فيه شيء من الريق فيعافه الشارب ويتقذره – ولا يشترط لكي نتبع السنة أن تُعلم الحكمة من وراء فعلها أو التفسير العلمي لها,MSA,,,,,,,,,,
دكتور عراقي يكتشف علاج للفشل الكلوي وصفه لعلاج الفشل الكلوي لا توجد في اي كتاب ولا يعرفها اطباء,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/%d8%a7%d9%83%d8%aa%d8%b4%d8%a7%d9%81-%d8%af%d9%83%d8%aa%d9%88%d8%b1-%d8%b9%d8%b1%d8%a7%d9%82%d9%8a-%d9%84%d8%b9%d9%84%d8%a7%d8%ac-%d9%84%d9%84%d9%81%d8%b4%d9%84-%d8%a7%d9%84%d9%83%d9%84%d9%88%d9%8a/,– لا يوجد أي دليل علمي يثبت فائدة المواد المذكورة لعلاج او تحسين حالة الكلى سواءا منفردة أو مجتمعة – استخدام المكونات المذكورة بدون وصفة طبية مبنية على أساس طبي بعد خلطها قد تتسبب باضرار صحية قد تكون قاتلة لبعض المرضى. – مريض الكلى الموصوف له الغسيل كلوياً عليه ألا يتوقف عن الغسيل الكلوي إلا بعد زرع كلى جديدة. – التوقف عن غسيل الكلى سيؤدي حتماً للوفاة بسبب تراكم السموم داخل الجسم وعدم قدرة الكلى ( سبب الفشل الكلوي) على وإخراج السموم.,MSA,,,,,,,,,,
"#هل تجوز الصلاة بعد شرب البيبسي؟
المشروبات الغازية مصنعة من امعاء خنزير ",Yes,Fake (Lie),Negative,No,Other,https://fatabyyano.net/%d8%a7%d9%84%d9%85%d8%b4%d8%b1%d9%88%d8%a8%d8%a7%d8%aa-%d8%a7%d9%84%d8%ba%d8%a7%d8%b2%d9%8a%d8%a9-%d8%a3%d9%85%d8%b9%d8%a7%d8%a1-%d8%a7%d9%84%d8%ae%d9%86%d8%b2%d9%8a%d8%b1/,– مادة البيبسين لم تكن ابدا مكونا في البيبسي رغم التسمية – البيبسين هو انزيم يفرز من معدة الثدييات مثل الانسان وكذلك الخنازير لهضم البروتينات بالطعام يتم تحضيره غالبا من معدة الخنازير لاستخدامه في الصناعات المختلفة مثل تحضير بعض الاطعمة وصناعة الجلود. – اما الرد الديني فالأصل في الأشياء الحل حتى يتبين ما يوجب الحرمة وهذا غير موجود في حالة المشروبات الغازية مثل البيبسي,MSA,,,,,,,,,,
معلومة هامة جدا وجد أن حليب الأم يفتقر إلى الحديد بالمرة ؟ والاطباء حاروا في الامر ، و كيف لرضيع ان ينمو ويتغذى مدة شهور بلا مادة الحديد التي هي مركز النمو والصحة وبالخصوص نمو الاعضاء الحيوية والحساسة …..,No,Fake (Lie),Negative,No,Other,https://fatabyyano.net/%d8%ad%d9%84%d9%8a%d8%a8-%d8%a7%d9%84%d8%a3%d9%85/,- – يحتوى حليب الأم على الحديد بل إن امتصاص الحديد يكون أفضل من لبن الأم عن أى مكملات أو ألبان أخرى حيث تساعد العناصر الأخرى الموجودة بلبن الأم مثل فيتامين سي والنسبة العالية من اللكتوز على امتصاص أفضل للحديد. – الطفل الرضيع يملك مخزون من الحديد – بسبب كل هذا لا يعاني الطفل من الأنيميا او نقص الحديد طوال فترة ال٦ اشهر التي يعتمد خلالها فقط على لبن الأم – بل وجد الباحثون أن الأطفال الذين يحصلون على رضاعة حصرية لمدة ٧ أشهر يمتلكون معدل هيموجلوبين ( المعبر عن نسبة الحديد ) أعلى من الأطفال الذين تم إرضاعهم وتقديم الطعام الصلب لهم وذلك عند عمر سنة,MSA,,,,,,,,,,
سيدة مغربية ابتلعت سحر والعياذ بالله لأجل ان تحمل منذ 2007 ولحد الان لن تنجب وانظر الى حركة بطنها ولكن لا يظهر شيء في السونار .!!! اعوذ بالله من الشيطان الرجيم,No,Fake (Lie),Negative,No,Other,https://fatabyyano.net/سيدة-مغربية-ابتلعت-سحراً/,- السيدة تعاني من الحمل الكاذب نتيجة عوامل نفسية والنساء اللاتي يصبن بالحمل الكاذب يعانين من أعراض الحمل الطبيعي عدا الوجود الحقيقي للجنين في الرحم,MSA,,,,,,,,,,
البطاطا التي تحتوي على براعم سامة ..عندما يظهر براعم للبطاطا فهي اشارة الى وجود تفاعلات كيميائية بداخلها ولم تعد صالحة للأستخدام عن طريق تشكل هذين السمان وهما ( السولانين والالفاكانونين ) القادرتان على قتل الانسان احذروها وساهمو في نشر الموضوع حتى تعم الفائدة على الجميع,No,Fake (Lie),Negative,No,Other,https://fatabyyano.net/%d8%a7%d9%84%d8%a8%d8%b7%d8%a7%d8%b7%d8%a7-%d8%aa%d8%ad%d8%aa%d9%88%d9%8a-%d8%a8%d8%b1%d8%a7%d8%b9%d9%85-%d8%b3%d8%a7%d9%85%d8%a9/,- تتركز مادة السولانين السامة في البراعم وليس في بقية البطاطا لذا تبقى البطاطا صالحة للأكل حتى بعد ظهور البراعم عليها سواء كانت البطاطا صلبة أو مجعدة (و التي تكون قد فقدت جزءا كبيرا من قيمتها الغذائية لكنها ما تزال آمنة للاستهلاك) ويمكن ببساطة إزالة الأجزاء الخضراء والبراعم والاستفادة من باقي البطاطا,MSA,,,,,,,,,,
كيف تنجو من نوبه قلبية وانت وحدك,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/%d9%83%d9%8a%d9%81-%d8%aa%d9%86%d8%ac%d9%88-%d9%85%d9%86-%d9%86%d9%88%d8%a8%d8%a9-%d9%82%d9%84%d8%a8%d9%8a%d8%a9/,المنشور كاذب لأن الأعراض في المنشور متضاربة,MSA,,,,,,,,,,
حالة نادرة : طفلة بـ عيون حمراء,No,Fake (Lie),Neutral,No,Other,https://fatabyyano.net/child_red_eyes/,إننا نرى العيون بلونٍ معيّن ليس لأن لونها الحقيقي كذلك، و لكن ذلك بسبب الضوء المنعكس من قزحية العين Iris والتي تحتوي على صبغة الميلانين عند أغلب البشر.,MSA,,,,,,,,,,
عارفين ليه الكمامه عندها لونين أبيض و ازرق ؟! 😷 الكمامة مصممة بلونين لغرض معين مش مجرد تلوين وخلاص… ففى حالة لو إنت مريض وحتلبسها عشان تحمى الناس من العدوى منك ومن إنتشار الميكروبات عن طريقك ف هيكون اللون الأبيض هو المواجه لك واللون الازرق المواجه للناس عشان يمنع الجراثيم من الإنتشار …. إنما ف حالة لو إنت مش مريض ولكن تريد ان تحمى نفسك من الناس أو من مرض منتشر فتلبس الكمامه بحيث يكون اللون الأبيض مواجه للناس … والازرق مواجه لك وفي هذه الحاله هيتم فلترة الجراثيم للخارج ومنعها من الدخول لك…..,No,Fake (Lie),Neutral,No,Other,https://fatabyyano.net/color_white_and_blue_muzzle/,يتم ارتداء الكمامة بطريقة صحيحة واحدة فقط الجانب الملون – الأزرق أو الأخضر – من الخارج تتكون الكمامة عادة من ثلاث طبقات 1- داخلية 2- وسطى 3 – خارجية (غالبًا ملونة بالأزرق أو الأخضر ) الطبقة الداخلية والخارجية مقاومة للماء ( وليست للفلترة أو التصفية كلا الطبقات الخارجية والداخلية لا تقوم بتصفية أي بكتيريا) فالطبقة الداخلية الملامسة للوجه تمنع خروج اللعاب والمواد المخاطية من الداخل إلى الخارج بعض العلامات التجارية الجيدة تزود الطبقة الداخلية ب Air-laid لجعل المستخدم يشعر بنعومة على البشرة ولتمتص رطوبة أكثر من غيرها فالجانب الأبيض تم تصميمه خصيصًا لاستيعاب سوائل الزفير وليشعر المستخدم بالراحة والطبقة الخارجية الملونة تمنع دخول الدم أو أي سوائل أخرى إلى الداخل أما الطبقة الوسطى تقوم بعملية الفلترة أوالتصفية فهي تفلتر الجزيئات الداخلة والخارجة فتمنع الجراثيم من الدخول أو الخروج.,MSA,,,,,,,,,,
شئ غريب لايصدق يخرج من الأذن 2018,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/remove_ear_using_wax_/,– نفت الجمعية الأمريكية للسمعيات وجود أي دليل علمي يدعم إزالة شمع الأذن باستخدام الشمع. – القياسات العلمية لم تجد أى تناقص بمقدار الشمع في الأذن بعد القيام بهذه الطريقة بل وجد بعض الباحثين أن كمية شمع الأذن تزداد بعد بسبب الشمع الذي يتساقط من الشمعة. – تفصل طبلة الأذن كلا من الأذن الوسطى والداخلية عن الخارج وبالتالي لا يمكن للشمعة سحب أى إلتهابات من داخلهم. أثبت الطبيب كليف أولسن طبيب السمعيات بأريزونا عمليا عدم فعالية التقنية من خلال قناته على اليوتيوب. – مانراه في نهاية التجربة على أنه شمع من الأذن ماهو إلا خليط من شمع الشمعة نفسها والقماش المحروق,MSA,,,,,,,,,,
ظبط كامل  ل الساعه البيلوجيه لجسم الإنسان,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/clock_belugue_human-_body/,تعمل جميع أعضاء الجسم بشكل دائم بدرجات متفاوتة على مدار اليوم من دون توقف. لا يوجد وقت محدد للتخلص من السموم بل هي عملية مستمرة بشكل دائم لحماية الجسم فتوقف الجهاز اللمفاوي أو الكبد عن عملهما فترة يؤدي إلى تداعيات خطيرة. المرارة ليس لها دور في التخلص من السموم فهي كيس يخرج عصارة صفراء تساعد في هضم الدهون وامتصاصها. النخاع العظمي يعمل على مدار اليوم وليس في ساعات محددة. الساعة البيولوجية هي ساعة جينية توجد داخل الخلايا لتنظيم عملها لكنها لا تؤدي إلى إيقاف تام للخلايا.,MSA,,,,,,,,,,
لعشاق الاركيلة طبيب ألماني يبتكر حل بسيط تضعه في زجاجة الاركيلة لتنقيتها من الأضر ار بنسية ٨٢%منها ذهل الدكتور كلاوس شتاين ماير من إقبال الشباب العرب ومن بعدهم الألمان على تدخين الأركيلة وبعد دراسة ما يخرج منها في ساعة من تدخينها يعادل ضرر ثلاثين سيجارة فقرر هو والطبيب السوري المتدرب محمود عبد الرحمن إجراء أبحاثهم للتقليل من ضرر هذه الآفة بأي وسيلة ولكن الحل كان أبسط مما توقعا فقد اقترح الطبيب السوري إذابة مواد في مياه الأركيلة والتأكد من المخرجات السامة وقد ذهل الاثنان بعد تجربة أكثر من 50 مادة عندما وجدا أن إذابة 5غ ( مقدرا ملعقة صغير ) من سكر الطعام ( السكروز ) لكل لتر من الماء البارد ووضعة بدلا من الماء العادي يقلل من المواد السامة بنسبة 82% لدخان الأركيلة,No,Fake (Lie),Neutral,No,Other,https://fatabyyano.net/hookah_doctor_detoxification_myth/,– لا يوجد أي بحث يثبت أن السمية تقل في الأركيلة بإضافة السكر للماء أسماء وهمية لأطباء لاوجود لهم ولا لبحثهم نشر قبل سنتين نفس المنشور وبالصيغة نفسها وكان مرفق بصورتين لاعلاقة لهما بالأسماء الوهمية المذكورة – الصورة الأولى كانت للصيدلاني السعودي أحمد الفقيه باحث دكتوراة بجامعة بريطانية – والصورة الثانية لمؤرخ فرنسي وصحفي اختص في التاريخ العسكري والسياسي (Dominique venner) ودومنيك فينر انتحر عام 2013 في كاتدرائية نوتردام أي قبل البحث المزعوم بثلاث سنوات والآن يعاد النشر بدون صور في محاولة جديدة لتضليل ونشر معلومات مغلوطة,MSA,,,,,,,,,,
أخيراً…”إجازة أول دواء يعالج السرطان “من منبعه الجيني”,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/%d8%a5%d8%ac%d8%a7%d8%b2%d8%a9-%d8%a3%d9%88%d9%84-%d8%af%d9%88%d8%a7%d8%a1-%d9%8a%d8%b9%d8%a7%d9%84%d8%ac-%d8%a7%d9%84%d8%b3%d8%b1%d8%b7%d8%a7%d9%86/,العقار فيتراكفي ليس دواء سحري قاتل للسرطان بكافة أشكاله ومراحله ..! العقار فيتراكفي Vitrakvi يكون الدواء الثاني الذي يعالج أورام تحمل صفة جينية معينة. دواء فيتراكفي هو دواء متخصص لعلاج الأورام السرطانية الصلبة Solid Tumors التي تحمل العامل الوراثي NTRK ، العقار لأنواع محددة والقابلة للإنتشار والتي لا يمكن إزالتها جراحياً. هذا الدواء يعتبر واعد ومهم من ناحية إنه موجه لمنطقة محددة والتي يزيد فيها إنتاج المعامل الجيني NTRK ، وسيكون للكبار والصغار ممن تحمل أورامهم هذا العامل الجيني. ✅ ما هي الأورام الذي سيعالجها هذا الدواء ؟ الأورام التي إستجابت للدواء بنسبة ٣٩٪؜ هي الساركوما ، ورم الغدد اللعابية ، سرطان الغدة الدرقية ، سرطان الرئة وسرطان infantile fibrosarcoma ✅ هل هناك أعراض جانبية ؟ نعم وهي الأعراض الجانبية الشائعة مثل التعب والغثيان والقيء ، والسعال ، والإمساك ، والإسهال ، والدوخة. ولا بد من فحص الدم الدوري للتحقق من وظائف الكبد ولا يسمح للحامل والمرضع تناوله . ✅ هل موجود هذا الدواء في الأسواق ؟ ليس بعد ..، وغالبا سيطرح في الأيام القادمة من شركة باير وسيتوفر بأشكال متعددة.,MSA,,,,,,,,,,
وفاة شاب بسبب أكله للبيض والموز حيث إنه أكل بيضة ثم أكل وراءها موزة وتوفي على الفور. وبعد الكشف عليه تبين أن البيض مع الموز يتحول في المعدة إلى سم قاتل يقتل الانسان فورآ. لذلك لا تأكلو الموز مع البيض لانه يؤدي إلى الوفاة,No,Fake (Lie),Negative,No,Other,https://fatabyyano.net/%d8%a3%d9%83%d9%84-%d8%a7%d9%84%d9%85%d9%88%d8%b2-%d9%85%d8%b9-%d8%a7%d9%84%d8%a8%d9%8a%d8%b6/,– استهلاك البيض مع الموز ليس سامًا ولا يوجد أي ضرر في تناولهما معًا بل هما من الأطعمة المفيدة للجسم – يستخدم مزيج البيض والموز في العديد من الوصفات ولم يتم الإبلاغ عن أي حالة تسمم بسبب ذلك – هناك بعض الأشخاص يمكن أن يكون لديهم حساسية من الموز و البيض مثل العديد من المواد الغذائية الأخرى التي قد تسبب حساسية للجسم,MSA,,,,,,,,,,
تحذير هام جداً جداً يجب الحرص على عدم شرب حبوب الباراسيتامول التي تأتي مكتوبة عليها P-500 وهو باراسيتامول جديد ناصع البياض والأطباء اثبتت احتواءه على فيروس “ماشوبو” التي تعتبر واحدة من أخطر الفيروسات في العالم !! لذا نهيب بكل من يقرأ هذا المنشور اذا شاهدتم هذا النوع من البراسيتول ابلاغ الجهات الأمنية بما فيها مراكز الشرطة القريبة منكم لأنقاذ الناس من هذا الفايروس القاتل … ملاحظة تأكدت من الخبر 100‎%‎ !,No,Fake (Lie),Negative,No,Other,https://fatabyyano.net/%d8%a7%d8%ad%d8%aa%d9%88%d8%a7%d8%a1-%d8%a7%d9%82%d8%b1%d8%a7%d8%b5-p-500-%d8%b9%d9%84%d9%89-%d9%81%d8%a7%d9%8a%d8%b1%d9%88%d8%b3-%d9%85%d8%a7%d8%aa%d8%b4%d9%88%d8%a8%d9%88/,– مجرد إشاعة انتشرت على مستوى العالم مصدرها شرق آسيا وقد تم نفيها من قبل وزارة الصحة الماليزية و السنغافورية – فالفيروس Machupo لا يمكنه البقاء حياً في بيئة جافة مثل أقراص الباراسيتامول – يسبب فايروس ماتشوبو Matchupo اصابة المريض بمرض الحمى النزفية البوليفية (Bolivian hemorrhagic fever)، و تصاحب هذا المرض أعراض عديدة منها الحمى، الصداع، الارهاق، آلام العضلات، و آلام المفاصل. و من الممكن أن يتطور المرض في بعض الحالات و تصاحبه أعراض خطيرة مثل النزيف من فتحات الجهاز التنفسي و الهضمي و التناسلي. – ومن الممكن أيضا أن يتطور المرض لتصاحبه أعراض في الجهاز العصبي مثل فقدان السيطرة على العضلات و نوبات التشنج مما يؤدي الى الموت خلال اسبوع من التعرض لهذه الاعراض الخطيرة. – تعتبر القوارض الحامل الاساسي لهذا الفايروس، و ينتقل عن طريق تناول اللحوم المصابة منها او التماس المباشر معها. و من الممكن ان ينتقل أيضا عن طريق القراد و البعوض او سوائل جسم الانسان المصاب. – الفايروس لا يعيش خارج جسم المعيل و قد يبقى حيا في عينات الدم المأخوذة من المعيل لمدة اسبوعين فقط. لهذا فإن تواجده حيا و فاعلا في أقراص الدواء أمر مستحيل. – من أهم طرق الوقاية من هذا المرض هو السيطرة على التعامل مع القوارض و تناول لحومها، و أخذ التطاعيم اللازمة,MSA,,,,,,,,,,
مولود في ولاية تبسة يولد بشعر أبيض. هل تتحقق الآية الكريمة (فَكَيْفَ تَتَّقُونَ إِن كَفَرْتُمْ يَوْمًا يَجْعَلُ الْوِلْدَانَ شِيبًا)؟,No,Fake (Lie),Neutral,No,Other,https://fatabyyano.net/%d8%b1%d8%b6%d9%8a%d8%b9_%d8%a3%d8%b4%d9%8a%d8%a8/,طفل يعاني من مهاق جزئي فقد صبغة الميلانين المسؤولة عن لون الشعر مما تسبب في أن يكون شعره أبيض اللون أما قوله تعالى: (فَكَيْفَ تَتَّقُونَ إِنْ كَفَرْتُمْ يَوْمًا يَجْعَلُ الْوِلْدَانَ شِيبًا) يعني يوم القيامة وإنما تشيب الولدان من شدة هوله.,MSA,,,,,,,,,,
السلام عليكم ورحمة الله وبركاته معلومه غاية في الاهمية وناجحة 100% للجلطه الدماغية إذا صادف أن واجهتم حالة شخص أصيب بجلطة دماغية، لا تبقوا مكتوفي الأيدي فأنتم تستطيعون إنقاذ حياته. هذه التقنية التي يقدمها لنا بروفسور صيني، والتي يجب أن يتشاركها كل الناس، ترتكز على وخز إصبع الضحية بإبرة بسيطة كان يكون ابرة جهاز فحص السكر كلنا معرضون للإصابة بجلطة دماغية مفاجئة قد تكلف الشخص حياته، ولكن حيلة عبقرية وسهلة جداً نقدمها لكم الان تسمح بإنقاذ الحياة من الموت الفجائي. هذه الحيلة تمثل الخطوة الأولى في الإسعاف الأولي الذي يجب أن تطبقوها على ضحية الجلطة، حتى ولو كنتم لا تملكون أي شهادة في الطب : أولاً / يجب أن تحافظوا على هدوئكم ولا تفكروا بهز المريض أو تحريكه، خوفاً من تتسببوا له بنزيف دماغي داخلي. ثانيا / استعمال ابرة جهاز فحص السكر أمر مثالي ، ولكن في حال عدم توفرها، من الممكن أن تستخدموا إبرة خياطة ولتعقيم هذه الإبرة، عرّضوها للحرارة إما على شمعة وإما على اي نار يجب بعدها أن تقوموا بوخز رؤوس الأصابع العشرة بهذه الإبرة المعقمة ( لاتنسوا وخز اصابع اليد العشرة ) هذا الوخز يجب أن يتم على بعد بضعة ملليمترات من الاظافر لكي يسيل الدم قطرات إذا لم يسل الدم نقطة نقطة، اضغطوا بلطف ليستطيع أن يسيل ببطء ويسمح للدم في الداخل بأن يتحرك. وإذا لاحظتم تشوهاً في شكل فم الضحية، قوموا بتدليك الأذنين حتى يبلغهما الدم. ينصح أيضاً بوخز شحمة الأذن بهذه الإبرة حتى تشاهدوا سيلان قطرتين من الدم. بعدها فوراً، سيستعيد المريض وعيه وسيعود شكل فمه إلى طبيعته. يجب أن يذهب المريض بعدها إلى المستشفى حتى تستقر حالته. هذه الطريقة الصينية تنجح بنسبة 100 % في حالة حدوث جلطة دماغية وننصح بقوة باستعمالها حتى ننقذ ضحايا الجلطات من تلف الأعضاء وحتى من الموت المفاجئ. من أجل الاستمرار في خدمتكم الرجاء دعمنا ب خمس ملصقات لنستمر والرجاء مشاركة المنشور في مجموعات لتعم الفائدة للجميع ولكم مني جزيل الشكر والتقدير والاحترام,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/%d8%b9%d9%84%d8%a7%d8%ac-%d8%a7%d9%84%d8%ac%d9%84%d8%b7%d8%a9-%d8%a7%d9%84%d8%af%d9%85%d8%a7%d8%ba%d9%8a%d8%a9-%d8%a8%d9%88%d8%ae%d8%b2-%d8%a3%d8%b7%d8%b1%d8%a7%d9%81-%d8%a7%d9%84%d8%a3%d8%b5%d8%a7/,مجرد خرافة ليس لها أي أساس علمي والاعتماد عليها يمكن أن يؤدي إلى الوفاة أو إصابة دائمة للمريض. – وخز الأصابع لن يساعد المريض ولن يكون له أي تأثير على تدفق الدم إلى المخ الوقت الضائع الذي يستهلك بوخز الأصابع يسبب ضرراً بخسارة المزيد من خلايا الدماغ. – لمساعدة المريض يجب نقله فوراً إلى المستشفى.,MSA,,,,,,,,,,
أن تشرب و أنت جالس: يذهب من جسمك جميع الترسبات الضارة و منها الترسبات التي تسبب حصى الكلى. أما الشرب ثلاثا: فإنه كلما شربت و توقفت للتنفس يأخذ الجسم أكسجين و يعطي أنسولين و الانسولين يحمي من مرض السكر قم بإرسالها لإحياء سنة الرسول صلى الله عليه و سلم,No,Fake (Lie),Positive,No,Other,https://fatabyyano.net/drinking_water_sunnahs/,مسببات حصى الكلى في الجسم عديدة، معظمها يرتبط بنسبة المعادن في الجسم والتي ترتفع نتيجة إما مرض (كداء النقرص) أو عدم اتزان الغذاء (كتناول حبوب الفيتامينات والمعادن) أو نقص السوائل، ولا علاقة للوضعية أثناء الشرب بذلك لا من قريب ولا من بعيد. أما الإنسولين فإن البنكرياس يبدأ بإفرازه ما إن يدخل الطعام أو الشراب (كالعصير) إلى الجسم سواء توقفت للتنفس أم لم تتوقف، ولا علاقة للأكسجين بذلك. الأكل الخفيف بعد الصيام وزيادته للإنسولين؛ عليه بعض الدراسات التي قد تثبت جدوى مثل هذه الممارسة طبيا، لكن لا علاقة لها بالتوقف للتنفس للشرب. و المسلم يؤمن بسنن الرسول عليه الصلاة و السلام و يتّبعها و يعمل بها محبة للرسول صلى الله عليه و سلم و اقتداء به، و عملا بالأمر الإلهي في هذا الشأن، ” وما آتاكم الرسول فخذوه و ما نهاكم عنه فانتهوا” (سورة الحشر،7). و لا نحتاج لفبركة تفسيرات علمية للإيمان بما صح من سننه.,MSA,,,,,,,,,,
صورة للقلب بدون دم ! لو أول مرة تشوفها أمانة عليك تدوس لايك و تكتب سبحان الله,No,Fake (Lie),Negative,No,Other,https://fatabyyano.net/heart_without_blood_stem_cell/,قلب خنزير تم غسله بنوع خاص من المنظفات لإزالة الخلايا منه و بقي الهيكل الأساسي ومن ثم تم حقنه بخلايا جذعية لجرذ وبعد فترة نمت الخلايا وقامت بتغطية القلب من جديد الغرض من هذه العملية محاولة ايجاد حلول بديلة لمرضى زراعة القلب التي يعاني منها كثير من الأشخاص حول العالم,MSA,,,,,,,,,,
